Día;Fondo A;Fondo B;Fondo C;Fondo D;Fondo E
04-05-20;47123,32;42373,85;49368,72;39405,29;43833,78
05-05-20;46663,23;41997,76;49112,56;39322,18;43818,45
06-05-20;46819,50;42152,06;49278,03;39485,49;43983,50
07-05-20;47091,52;42365,52;49482,06;39597,11;44062,05
08-05-20;47234,74;42482,33;49598,72;39685,62;44154,84
11-05-20;47171,13;42438,62;49637,21;39793,34;44283,00
12-05-20;46941,36;42331,08;49718,06;39993,86;44520,66
13-05-20;46573,48;42153,67;49733,14;40146,45;44686,08
14-05-20;45937,67;41740,17;49466,19;40084,14;44690,44
15-05-20;45825,88;41635,80;49371,68;40068,57;44724,73
18-05-20;46103,18;41850,98;49547,66;40189,75;44810,14
19-05-20;46872,50;42425,65;50101,06;40559,41;45084,38
20-05-20;46910,53;42512,86;50284,14;40699,99;45187,44
22-05-20;46491,00;42307,47;50209,41;40781,80;45308,14
25-05-20;46341,74;42225,95;50384,09;41105,14;45604,57
26-05-20;46516,86;42356,91;50536,99;41235,49;45689,76
27-05-20;46957,20;42624,62;50604,77;41109,83;45495,30
28-05-20;47673,73;42994,54;50535,16;40705,26;45040,83
29-05-20;47501,39;42944,39;50774,29;41028,07;45334,21
01-06-20;47216,52;42789,80;50742,20;41095,98;45395,86
02-06-20;47196,21;42817,23;50783,72;41129,96;45441,26
03-06-20;47332,53;42942,31;50845,31;41084,23;45314,27
04-06-20;47392,47;42950,96;50699,90;40866,69;45112,94
05-06-20;47749,15;43115,22;50652,29;40656,05;44895,93
08-06-20;48046,27;43283,66;50536,72;40412,65;44662,85
09-06-20;48695,83;43653,11;50610,71;40303,42;44497,90
10-06-20;48649,86;43642,60;50704,98;40375,54;44570,05
11-06-20;48326,92;43518,64;50918,46;40723,28;44872,64
12-06-20;47839,39;43178,49;50790,64;40662,32;44843,94
15-06-20;48129,64;43357,88;50777,81;40629,89;44794,81
16-06-20;48184,84;43382,30;50754,71;40621,60;44814,94
17-06-20;48063,69;43289,41;50625,65;40507,67;44711,51
18-06-20;49045,88;43967,55;51241,62;40848,09;44886,07
19-06-20;49782,84;44519,73;51881,77;41311,01;45214,46
22-06-20;50078,37;44802,13;52382,73;41740,44;45603,02
23-06-20;50080,04;44798,26;52241,70;41573,09;45462,02
24-06-20;50425,78;45032,21;52487,79;41707,55;45513,92
25-06-20;50172,69;44897,59;52392,72;41650,27;45502,12
26-06-20;49936,94;44771,39;52299,49;41687,20;45608,95
30-06-20;49835,74;44697,17;52172,09;41593,10;45541,82
01-07-20;50167,80;44908,76;52249,44;41534,66;45428,95
02-07-20;50266,84;45002,59;52339,57;41614,30;45518,78
03-07-20;50405,32;45114,93;52341,96;41545,66;45445,25
06-07-20;50642,43;45279,14;52521,50;41599,42;45451,69
07-07-20;51335,76;45757,76;52897,30;41862,36;45640,26
08-07-20;50895,39;45508,52;52872,09;41914,74;45713,25
09-07-20;50691,58;45422,57;52901,65;42045,54;45856,68
10-07-20;50288,23;45114,29;52516,28;41696,33;45496,31
13-07-20;50740,58;45397,64;52697,62;41736,62;45486,91
14-07-20;50694,28;45371,94;52626,31;41618,39;45378,35
15-07-20;50757,91;45395,73;52598,78;41639,53;45443,49
17-07-20;50510,46;45176,61;52330,76;41457,54;45291,42
20-07-20;50527,56;45120,42;52100,36;41180,79;44942,40
21-07-20;50761,00;45295,97;52210,34;41204,92;44925,42
22-07-20;50738,66;45286,81;52272,98;41241,18;44918,53
23-07-20;50427,54;45080,76;52145,97;41247,92;45002,27
24-07-20;49998,98;44871,50;52212,12;41464,28;45279,38
27-07-20;49834,57;44772,70;52218,40;41536,47;45387,58
28-07-20;50257,09;45037,95;52345,91;41530,58;45292,06
29-07-20;50288,39;45107,16;52389,31;41546,69;45311,36
30-07-20;50050,83;44922,44;52235,37;41505,21;45329,11
31-07-20;49583,79;44593,55;51908,01;41320,28;45217,53
03-08-20;49743,66;44761,30;52075,13;41417,72;45320,00
04-08-20;50088,42;44989,27;52254,91;41515,38;45380,43
05-08-20;50598,19;45325,64;52576,47;41684,04;45467,17
06-08-20;51137,49;45722,66;52969,17;41892,25;45570,99
07-08-20;51259,71;45823,64;52980,44;41852,87;45527,56
10-08-20;51463,91;45968,77;53028,71;41843,28;45502,55
11-08-20;52148,84;46405,67;53399,69;42045,15;45608,96
12-08-20;52002,67;46343,10;53426,60;42110,94;45678,77
13-08-20;52131,09;46417,66;53468,34;42134,67;45728,70
14-08-20;52269,08;46519,39;53628,60;42267,03;45815,72
17-08-20;52462,99;46642,66;53714,85;42315,31;45849,67
18-08-20;52915,39;46969,52;53956,45;42404,26;45885,88
19-08-20;52673,72;46808,09;53836,40;42330,60;45842,76
20-08-20;51837,16;46270,62;53492,40;42284,78;45936,99
21-08-20;51749,50;46199,25;53448,54;42272,61;45954,84
